Page,WidgetName,Name    ,Header,Length,Cmd,Addr,Data,CRC
-,SystemFunction,Switch Page,5AA5,07,10,7000,0000,FF03
-,SystemFunction,Brightness CTRL,5AA5,07,10,7001,003F,EED3
-,SystemFunction,Year,5AA5,07,10,7002,0019,9F09
-,SystemFunction,Month,5AA5,07,10,7003,0002,8EC2
-,SystemFunction,Day,5AA5,07,10,7004,0011,7ECE
-,SystemFunction,Hour,5AA5,07,10,7005,0012,6F0F
-,SystemFunction,Minute,5AA5,07,10,7006,001F,5ECA
-,SystemFunction,Second,5AA5,07,10,7007,001E,CECA
-,SystemFunction,Refresh time,5AA5,07,10,7008,0000,7EC1
-,SystemFunction,Play music,5AA5,07,10,700A,0000,DF01
-,SystemFunction,Volume CTRL,5AA5,07,10,700B,000A,0EC6
-,SystemFunction,Open pop_window,5AA5,07,10,700D,0000,6EC0
-,SystemFunction,Auto-dimming,5AA5,07,10,700E,0001,5F00
-,SystemFunction,Dimming level,5AA5,07,10,700F,003F,8F10
-,SystemFunction,Time to enter sleep,5AA5,07,10,7010,0005,3EC5
-,SystemFunction,Multi-language,5AA5,07,10,703F,0000,CF0F
Page0,label_0,label_0,5AA5,2b,10,0000,B5E7D7D3D0C5CFA2D1A7D4BA4149B1DFD4B5BCC6CBE3BDBBCDA8C9B3C5CCBBB6D3ADC4FA0000,7FAE
Page0,label_1,label_1,5AA5,13,10,001E,D1CFB3F6C3C5B3F6C8EBBFDA0000,0BAB
Page0,label_2,label_2,5AA5,17,10,003C,CCECC6F8A3BAC7E7202D31302D3230A1E600,AA8B
Page0,label_3,label_3,5AA5,0F,10,005A,BBB7BEB3CEC2B6C80000,BEDD
Page0,label_4,label_4,5AA5,0F,10,0078,BBB7BEB3CAAAB6C80000,7EE8
Page0,label_5,label_5,5AA5,15,10,0096,B3C9B6BCCAD0CCECC6F8D4A4B1A80000,910A
Page0,label_6,label_6,5AA5,15,10,00B4,BDF1C8D5BDF8B3A13A31302F31303000,4054
Page0,label_7,label_7,5AA5,15,10,00D2,BDF1C8D5B3F6B3A13A31302F31303000,56D4
Page0,label_8,label_8,5AA5,11,10,00F0,D4DAB3A1B3B5C1BE3A323000,86D0
Page0,label_9,label_9,5AA5,11,10,010E,B3B5C1BEBCECB2E23ACEDE00,9B3A
Page0,label_10,label_10,5AA5,0F,10,012C,B3B5C5C6BAC53A313000,5C58
Page0,label_11,label_11,5AA5,17,10,014A,CDA3B3A1CAB1BCE43A3132B7D637C3EB0000,385C
Page0,icon_0,icon_0,5AA5,07,10,0168,0000,65E3
Page0,rProgress_0,rProgress_0,5AA5,07,10,016A,0014,C42C
Page0,rProgress_1,rProgress_1,5AA5,07,10,016B,0032,1436
